"name" "oper_date" "money" "type" "remarks"
"卢云熙" "2023-3-4 04:43:29" "20955.59" "消费" "正式"
"顾震南" "2023-2-8 16:32:21" "5137.96" "收入" "正式"
"曹子异" "2023-3-28 03:40:54" "65725.21" "消费" "正式"
"叶杰宏" "2023-3-20 00:30:10" "26333.42" "消费" "正式"
"武田花" "2023-2-13 23:05:18" "48587.37" "消费" "正式"
"蒋子异" "2023-3-10 12:11:32" "87528.64" "消费" "正式"
"藤田拓哉" "2023-4-7 12:16:37" "70989.18" "消费" "测试"
"马詩涵" "2023-3-10 09:08:45" "60823.16" "收入" "正式"
"廖晓明" "2023-3-6 06:09:37" "43019.22" "消费" "正式"
"贾睿" "2023-3-9 15:53:48" "82497.91" "消费" "正式"
"潘震南" "2023-3-21 07:24:11" "96268.44" "消费" "正式"
"伊藤海斗" "2023-2-23 23:50:16" "86088.51" "消费" "测试"
"谭璐" "2023-4-2 14:46:34" "43867.34" "消费" "正式"
"夏震南" "2023-2-3 19:27:43" "32343.59" "收入" "正式"
"于子韬" "2023-2-26 21:48:37" "63063.65" "消费" "正式"
"谭秀英" "2023-4-17 07:17:45" "96943.28" "消费" "正式"
"莫秀英" "2023-2-17 20:29:22" "47771.99" "消费" "正式"
"孙宇宁" "2023-2-24 05:23:56" "65061.2" "消费" "正式"
"汪震南" "2023-4-7 08:59:10" "71887.98" "消费" "正式"
"石田翼" "2023-4-8 07:11:30" "59892.52" "收入" "正式"
"斉藤樹" "2023-2-3 19:35:01" "15217.87" "消费" "正式"
"杉山美咲" "2023-4-8 19:49:53" "35145.66" "消费" "测试"
"孟嘉伦" "2023-2-20 12:00:09" "55256.64" "消费" "正式"
"小島蒼士" "2023-2-10 22:58:14" "22753.85" "消费" "测试"
"龚岚" "2023-3-29 13:56:16" "90387.6" "消费" "正式"
"江杰宏" "2023-3-18 21:41:05" "11445.55" "收入" "正式"
"贺杰宏" "2023-2-12 22:13:38" "78181.51" "消费" "正式"
"罗璐" "2023-2-9 04:17:47" "99208.17" "消费" "正式"
"金震南" "2023-2-23 20:10:28" "12745.38" "消费" "正式"
"高木蓮" "2023-3-18 07:51:47" "67244.15" "消费" "正式"
"沈璐" "2023-3-20 22:54:15" "62252.64" "消费" "正式"
"潘子异" "2023-3-30 17:22:31" "16846.9" "收入" "正式"
"上野聖子" "2023-2-17 14:18:53" "19618.51" "消费" "测试"
"袁安琪" "2023-4-9 19:15:15" "89263.45" "消费" "正式"
"島田陽菜" "2023-4-5 14:12:35" "87808.92" "消费" "测试"
"前田七海" "2023-3-22 18:54:52" "58387.19" "消费" "测试"
"藤田聖子" "2023-2-28 09:40:07" "90552.07" "消费" "测试"
"山崎愛梨" "2023-3-23 16:24:05" "67041.69" "收入" "测试"
"吕詩涵" "2023-3-4 03:30:52" "88902.46" "消费" "正式"
"石井葉月" "2023-3-21 10:54:01" "20454.87" "消费" "测试"
"杉山陽太" "2023-3-21 18:43:22" "84073.01" "消费" "测试"
"工藤健太" "2023-4-13 01:23:01" "22769.2" "消费" "测试"
"内田悠人" "2023-4-9 22:30:12" "86254.37" "消费" "测试"
"安藤葵" "2023-3-1 11:37:55" "51008.21" "收入" "正式"
"加藤花" "2023-3-14 00:14:48" "81667.74" "消费" "正式"
"石川陽太" "2023-3-3 07:36:08" "55786.59" "消费" "测试"
"周震南" "2023-4-5 08:17:44" "23038.6" "消费" "正式"
"薛致远" "2023-4-18 08:23:34" "41679.52" "消费" "正式"
"宮本陸" "2023-2-15 05:13:08" "91152.09" "消费" "正式"
"中野舞" "2023-2-13 09:46:42" "29533" "收入" "正式"
"王杰宏" "2023-2-12 17:32:19" "85408.16" "消费" "正式"
"余子韬" "2023-3-10 18:50:00" "93800.01" "消费" "正式"
"小川一輝" "2023-2-11 06:15:10" "81557.46" "消费" "测试"
"吴致远" "2023-4-6 09:56:52" "40339.65" "消费" "正式"
"陆云熙" "2023-2-9 06:01:58" "23891.42" "消费" "正式"
"酒井桜" "2023-2-12 13:14:07" "12386.55" "收入" "正式"
"宮崎舞" "2023-2-8 20:48:48" "86161.89" "消费" "正式"
"段岚" "2023-3-10 05:02:06" "15417.71" "消费" "正式"
"宮崎一輝" "2023-2-20 09:38:40" "52822.07" "消费" "测试"
"山下樹" "2023-4-15 21:48:39" "58741.63" "消费" "正式"
"山田葉月" "2023-3-11 13:45:29" "54676.25" "消费" "测试"
"大野拓哉" "2023-2-19 23:45:43" "9132.08" "收入" "测试"
"陆宇宁" "2023-2-24 07:40:13" "28768.8" "消费" "正式"
"杉山海斗" "2023-2-19 11:48:34" "50582.05" "消费" "测试"
"谭宇宁" "2023-4-8 12:55:55" "28199.25" "消费" "正式"
"福田大和" "2023-2-25 01:42:50" "64008.34" "消费" "测试"
"唐子异" "2023-2-12 17:35:27" "14871.28" "消费" "正式"
"横山健太" "2023-4-17 01:41:13" "5712.94" "收入" "测试"
"曹秀英" "2023-4-1 01:30:42" "24602.41" "消费" "正式"
"柴田大和" "2023-3-29 23:58:38" "63558.54" "消费" "测试"
"黎睿" "2023-3-15 16:59:30" "83058.79" "消费" "正式"
"森涼太" "2023-3-3 01:11:35" "13755.12" "消费" "正式"
"陈震南" "2023-4-11 01:33:45" "33652.54" "消费" "正式"
"平野詩乃" "2023-3-21 15:47:10" "12474.31" "收入" "测试"
"宋岚" "2023-2-8 03:42:35" "66948.56" "消费" "正式"
"卢睿" "2023-4-13 04:27:06" "10296.17" "消费" "正式"
"郝安琪" "2023-3-9 03:51:41" "32963.99" "消费" "正式"
"卢睿" "2023-3-12 19:04:22" "8027.04" "消费" "正式"
"武田葉月" "2023-2-10 09:04:50" "65387.16" "消费" "测试"
"長谷川蓮" "2023-2-10 06:39:37" "20875.28" "收入" "测试"
"邓子韬" "2023-2-19 21:51:41" "15404.58" "消费" "正式"
"彭安琪" "2023-1-27 06:52:31" "14402.22" "消费" "正式"
"太田美緒" "2023-1-21 07:50:40" "58564.65" "消费" "测试"
"田村美咲" "2023-2-28 20:49:55" "78366.78" "消费" "测试"
"三浦美緒" "2023-1-19 03:22:41" "12714.2" "消费" "测试"
"龙杰宏" "2023-4-3 21:36:42" "20405.36" "收入" "正式"
"大野和真" "2023-2-11 17:05:57" "59749.33" "消费" "测试"
"廖云熙" "2023-4-8 20:28:50" "37746.82" "消费" "正式"
"平野樹" "2023-2-10 14:38:20" "79305.4" "消费" "正式"
"井上瑛太" "2023-3-3 04:30:43" "84285.3" "消费" "测试"
"青木涼太" "2023-3-11 21:49:36" "26230.76" "消费" "测试"
"李震南" "2023-2-15 17:18:43" "63514.98" "收入" "正式"
"前田蓮" "2023-1-21 11:56:39" "39236.66" "消费" "正式"
"西村桜" "2023-3-26 13:50:52" "65218.77" "消费" "正式"
"杨宇宁" "2023-2-22 06:43:37" "46786.93" "消费" "正式"
"杜岚" "2023-3-18 18:59:30" "66064.07" "消费" "正式"
"李致远" "2023-3-15 09:32:34" "77760.28" "消费" "正式"
"野村光" "2023-4-12 06:22:17" "15382.04" "收入" "正式"
"中島彩乃" "2023-2-14 17:16:30" "70144.5" "消费" "测试"
"方璐" "2023-2-11 13:45:41" "71975.6" "消费" "正式"
"姚秀英" "2023-4-12 08:07:12" "32779.95" "消费" "正式"
"贺璐" "2023-4-10 19:45:33" "18245.79" "消费" "正式"
"谭晓明" "2023-3-10 02:52:59" "6999.68" "消费" "正式"
"大塚七海" "2023-2-23 03:24:11" "20791.01" "收入" "测试"
"魏杰宏" "2023-2-1 14:21:11" "7996.75" "消费" "正式"
"松本瑛太" "2023-1-30 10:24:25" "55332.28" "消费" "测试"
"原田紗良" "2023-2-26 03:41:50" "22057.62" "消费" "测试"
"清水紗良" "2023-2-10 04:38:56" "31565.03" "消费" "测试"
"中島百花" "2023-2-28 06:07:34" "71258.94" "消费" "测试"
"史宇宁" "2023-4-7 08:56:05" "73620.62" "收入" "正式"
"中島美緒" "2023-1-31 17:41:09" "32129.84" "消费" "测试"
"孙岚" "2023-2-2 23:33:08" "8944.51" "消费" "正式"
"程璐" "2023-3-18 06:34:16" "32732.67" "消费" "正式"
"金杰宏" "2023-4-9 22:43:45" "28839.88" "消费" "正式"
"福田七海" "2023-2-28 16:03:39" "85910.06" "消费" "测试"
"井上明菜" "2023-3-1 15:55:20" "18400.61" "收入" "测试"
"山崎絢斗" "2023-1-30 06:17:31" "67168.62" "消费" "测试"
"龙嘉伦" "2023-2-25 16:43:31" "35036.23" "消费" "正式"
"侯致远" "2023-4-10 21:17:32" "52207.31" "消费" "正式"
"孔詩涵" "2023-3-31 03:57:22" "11921.68" "消费" "正式"
"市川凛" "2023-1-29 07:15:44" "28738.76" "消费" "正式"
"秦璐" "2023-3-19 20:22:03" "37339.85" "收入" "正式"
"江云熙" "2023-4-14 13:54:40" "50757.92" "消费" "正式"
"孟嘉伦" "2023-1-31 06:11:57" "99307.99" "消费" "正式"
"中野葵" "2023-2-8 22:47:50" "51675.96" "消费" "正式"
"今井明菜" "2023-1-29 01:51:55" "93777.72" "消费" "测试"
"内田明菜" "2023-4-13 22:06:53" "16844.47" "消费" "测试"
"朱詩涵" "2023-2-5 00:10:24" "50220.93" "收入" "正式"
"杨晓明" "2023-4-12 13:40:30" "58505" "消费" "正式"
"陶宇宁" "2023-4-17 23:04:35" "70625.06" "消费" "正式"
"潘秀英" "2023-3-31 18:26:20" "54518.38" "消费" "正式"
"丁致远" "2023-1-24 21:53:38" "55707.15" "消费" "正式"
"袁嘉伦" "2023-1-24 07:18:44" "66051.03" "消费" "正式"
"邹璐" "2023-2-14 01:58:55" "20439.5" "收入" "正式"
"岡田彩乃" "2023-3-14 07:19:37" "69234.5" "消费" "测试"
"藤原健太" "2023-4-6 08:17:39" "20223.69" "消费" "测试"
"太田一輝" "2023-2-6 21:22:37" "60525.36" "消费" "测试"
"尹岚" "2023-3-29 17:42:09" "50692.22" "消费" "正式"
"青木瑛太" "2023-2-11 19:17:48" "71812.18" "消费" "测试"
"顾宇宁" "2023-4-7 11:26:23" "23073.25" "收入" "正式"
"岡本拓哉" "2023-4-8 13:44:30" "40216.17" "消费" "测试"
"蔡杰宏" "2023-2-5 08:31:59" "62430.53" "消费" "正式"
"沈宇宁" "2023-2-1 15:23:58" "88947.54" "消费" "正式"
"朱子异" "2023-2-2 22:30:26" "61348.92" "消费" "正式"
"武致远" "2023-1-30 18:11:05" "45522.11" "消费" "正式"
"木村悠人" "2023-4-18 03:45:52" "25013.85" "收入" "测试"
"鈴木明菜" "2023-4-14 07:01:42" "16078.66" "消费" "测试"
"太田聖子" "2023-1-26 14:00:57" "96832.6" "消费" "测试"
"阿部美咲" "2023-3-16 13:48:00" "31456.87" "消费" "测试"
"藤田光莉" "2023-2-15 16:49:45" "27653.12" "消费" "测试"
"傅璐" "2023-2-18 16:43:43" "29922.68" "消费" "正式"
"冯岚" "2023-3-3 05:10:53" "66503.84" "收入" "正式"
"後藤涼太" "2023-2-27 07:43:38" "38105.41" "消费" "测试"
"近藤聖子" "2023-3-3 15:25:36" "75503.49" "消费" "测试"
"大塚優奈" "2023-1-23 12:43:56" "98947.89" "消费" "测试"
"藤井彩乃" "2023-1-22 12:07:25" "7607.83" "消费" "测试"
"徐安琪" "2023-2-24 14:11:54" "14773.68" "消费" "正式"
"韦宇宁" "2023-1-26 06:46:19" "55610.27" "收入" "正式"
"毛致远" "2023-2-15 05:58:04" "32929.27" "消费" "正式"
"佐野彩乃" "2023-2-26 13:18:49" "18321.99" "消费" "测试"
"卢嘉伦" "2023-2-26 10:23:18" "57137.61" "消费" "正式"
"池田架純" "2023-3-14 03:09:38" "75568.02" "消费" "测试"
"小林健太" "2023-2-14 02:58:50" "32042.69" "消费" "测试"
"卢睿" "2023-3-16 14:00:55" "59122.86" "收入" "正式"
"程子韬" "2023-4-4 09:41:19" "37378.22" "消费" "正式"
"秦岚" "2023-4-6 12:44:36" "53436.12" "消费" "正式"
"方晓明" "2023-1-24 02:56:12" "26025.43" "消费" "正式"
"原田光莉" "2023-2-5 16:41:30" "98461.12" "消费" "测试"
"董安琪" "2023-3-25 12:51:30" "96618.84" "消费" "正式"
"斎藤桜" "2023-3-27 09:12:30" "60661.42" "收入" "正式"
"毛睿" "2023-3-9 23:59:51" "98719.13" "消费" "正式"
"江安琪" "2023-2-16 01:10:50" "95746.45" "消费" "正式"
"苏睿" "2023-3-12 05:27:48" "42962.43" "消费" "正式"
"廖詩涵" "2023-3-31 23:27:29" "66686.18" "消费" "正式"
"鈴木百花" "2023-3-16 06:57:55" "37151.49" "消费" "测试"
"新井和真" "2023-3-14 14:57:54" "13535.33" "收入" "测试"
"和田光" "2023-4-19 19:50:07" "23082.73" "消费" "正式"
"谷口彩乃" "2023-4-12 09:21:22" "68550.74" "消费" "测试"
"遠藤涼太" "2023-1-19 01:20:00" "47578.63" "消费" "测试"
"宮本架純" "2023-2-4 23:24:52" "60987.27" "消费" "测试"
"山本蒼士" "2023-3-15 10:49:06" "97883.81" "消费" "测试"
"菅原大地" "2023-1-21 00:41:04" "71565" "收入" "测试"
"増田翼" "2023-2-20 16:04:35" "73816.01" "消费" "正式"
"卢子异" "2023-3-4 02:44:44" "69056.99" "消费" "正式"
"孙岚" "2023-3-26 15:08:18" "88084.54" "消费" "正式"
"大塚美緒" "2023-3-23 07:39:22" "84045.19" "消费" "测试"
"汪秀英" "2023-1-28 19:03:01" "32471.51" "消费" "正式"
"吉田美月" "2023-2-5 18:48:19" "9190.31" "收入" "测试"
"郭岚" "2023-3-5 22:17:11" "76095.21" "消费" "正式"
"贾秀英" "2023-4-19 01:01:16" "10514.56" "消费" "正式"
"陶宇宁" "2023-3-17 23:33:04" "60838.19" "消费" "正式"
"村田涼太" "2023-2-3 05:35:15" "74980.71" "消费" "测试"
"钱安琪" "2023-2-3 22:57:49" "20501.61" "消费" "正式"
"酒井美咲" "2023-4-10 01:30:26" "61957.42" "收入" "测试"
"鈴木大地" "2023-4-6 13:43:21" "58476.12" "消费" "测试"
"戴子韬" "2023-2-20 14:49:07" "90408.23" "消费" "正式"
"前田和真" "2023-2-9 10:12:08" "65937.27" "消费" "测试"
"市川舞" "2023-3-27 02:23:27" "9232.58" "消费" "正式"
"沈子韬" "2023-4-10 07:06:24" "15626.08" "消费" "正式"
"钟晓明" "2023-2-11 15:30:04" "24400.53" "收入" "正式"
"邹致远" "2023-3-14 00:26:23" "25799.77" "消费" "正式"
"太田優奈" "2023-4-9 10:00:00" "22604.38" "消费" "测试"
"田中海斗" "2023-4-17 17:23:58" "78346.08" "消费" "测试"
"森彩乃" "2023-3-5 04:59:12" "23709.54" "消费" "正式"
"桜井翼" "2023-2-23 22:30:04" "94676.03" "消费" "正式"
"田中健太" "2023-4-14 22:38:36" "55147.97" "收入" "测试"
"吴致远" "2023-2-21 20:28:58" "45738.94" "消费" "正式"
"清水明菜" "2023-3-6 04:27:36" "7964.19" "消费" "测试"
"小山百恵" "2023-3-20 00:16:21" "34944.46" "消费" "测试"
"村上光莉" "2023-2-21 23:28:05" "11956.39" "消费" "测试"
"董秀英" "2023-1-29 16:33:21" "58287.68" "消费" "正式"
"斉藤葉月" "2023-4-7 00:08:18" "11816.72" "收入" "测试"
"张詩涵" "2023-3-28 04:58:06" "85847.78" "消费" "正式"
"尹安琪" "2023-4-6 00:22:59" "23289.82" "消费" "正式"
"島田蓮" "2023-2-24 17:04:23" "43408.2" "消费" "正式"
"刘晓明" "2023-2-9 00:51:58" "24055.6" "消费" "正式"
"蔡子异" "2023-2-25 05:55:40" "65575.9" "消费" "正式"
"罗秀英" "2023-4-8 20:01:49" "17600.48" "收入" "正式"
"周詩涵" "2023-3-19 09:03:44" "66896.59" "消费" "正式"
"菅原彩乃" "2023-2-15 02:04:23" "37418.68" "消费" "测试"
"村上詩乃" "2023-3-1 17:08:33" "68435.43" "消费" "测试"
"中島光莉" "2023-1-25 11:54:00" "43186.38" "消费" "测试"
"西村悠人" "2023-1-22 12:29:46" "46999.36" "消费" "测试"
"今井一輝" "2023-2-26 22:25:07" "93767.23" "收入" "测试"
"高木美月" "2023-1-23 05:25:06" "62751.05" "消费" "测试"
"莫秀英" "2023-1-25 08:14:03" "69981.87" "消费" "正式"
"任璐" "2023-1-25 18:45:45" "36283.11" "消费" "正式"
"于岚" "2023-2-14 22:34:31" "53347.99" "消费" "正式"
"加藤大和" "2023-4-10 06:14:44" "67857.43" "消费" "测试"
"岡田葉月" "2023-2-6 08:00:14" "48230.39" "收入" "测试"
"高木美羽" "2023-1-23 21:27:19" "39567.49" "消费" "测试"
"上田紗良" "2023-2-16 15:23:54" "55488.09" "消费" "测试"
"菊地美月" "2023-3-25 12:06:34" "29709.1" "消费" "测试"
"内田大和" "2023-3-20 01:51:12" "5757.45" "消费" "测试"
"刘晓明" "2023-4-18 19:45:03" "5146.73" "消费" "正式"
"段宇宁" "2023-3-13 13:42:06" "35216.77" "收入" "正式"
"松井拓哉" "2023-1-22 23:30:06" "58480.68" "消费" "测试"
"郑嘉伦" "2023-3-15 13:18:45" "77155.69" "消费" "正式"
"村田結翔" "2023-3-13 19:43:18" "58136.91" "消费" "测试"
"张杰宏" "2023-2-6 18:00:47" "81633.4" "消费" "正式"
"石川架純" "2023-3-9 13:13:17" "43335.05" "消费" "测试"
"赵子韬" "2023-4-1 11:16:23" "98902.27" "收入" "正式"
"井上玲奈" "2023-4-8 09:54:09" "76595.31" "消费" "测试"
"松本葵" "2023-4-3 09:46:26" "39214.83" "消费" "正式"
"柴田絢斗" "2023-1-30 09:28:09" "64300.06" "消费" "测试"
"沈晓明" "2023-2-5 08:34:48" "53794.06" "消费" "正式"
"渡辺葵" "2023-3-6 19:19:49" "19025.73" "消费" "正式"
"金子大地" "2023-3-27 22:23:47" "32682.25" "收入" "测试"
"张岚" "2023-4-4 18:45:50" "77426.19" "消费" "正式"
"今井美緒" "2023-1-26 00:00:21" "17246.96" "消费" "测试"
"大野美月" "2023-3-21 12:58:20" "73945.98" "消费" "测试"
"田宇宁" "2023-4-1 09:20:19" "94771.8" "消费" "正式"
"谢安琪" "2023-4-16 13:30:57" "15346.6" "消费" "正式"
"森田桜" "2023-3-31 16:30:17" "94077.05" "收入" "正式"
"藤井湊" "2023-3-6 07:12:52" "16316.64" "消费" "正式"
"岡田悠人" "2023-2-27 18:30:34" "26677.89" "消费" "测试"
"竹内涼太" "2023-2-22 18:33:45" "73069.63" "消费" "测试"
"林晓明" "2023-2-8 23:49:46" "41364.82" "消费" "正式"
"孙秀英" "2023-2-24 09:06:10" "83055.81" "消费" "正式"
"邵晓明" "2023-2-14 19:11:34" "52445.63" "收入" "正式"
"黄嘉伦" "2023-3-12 13:28:26" "83666.99" "消费" "正式"
"佐々木拓哉" "2023-2-5 18:37:54" "41795.39" "消费" "正式"
"郝安琪" "2023-2-9 10:17:11" "57971.32" "消费" "正式"
"工藤結翔" "2023-2-4 06:19:53" "14358.24" "消费" "测试"
"韩杰宏" "2023-3-20 22:06:57" "27636.76" "消费" "正式"
"郑晓明" "2023-3-21 11:45:53" "96771.64" "收入" "正式"
"何詩涵" "2023-1-20 22:25:46" "11134.49" "消费" "正式"
"林晓明" "2023-1-22 09:19:17" "68423.46" "消费" "正式"
"侯秀英" "2023-3-12 11:40:10" "14925.79" "消费" "正式"
"郑璐" "2023-2-21 21:14:31" "25460.35" "消费" "正式"
"小島翼" "2023-4-3 21:00:18" "42016.24" "消费" "正式"
"刘睿" "2023-4-8 02:10:30" "41943.24" "收入" "正式"
"大塚大和" "2023-3-13 02:16:15" "39899.27" "消费" "测试"
"上野拓哉" "2023-2-11 08:09:23" "85280.61" "消费" "测试"
"黎云熙" "2023-2-19 04:13:05" "9704.2" "消费" "正式"
"中村蒼士" "2023-3-23 00:27:21" "38094.72" "消费" "测试"
